	t	x	n
  0.7430   0.0058 1035.0000 
  0.5726   0.0598 1640.0000 
  0.7096   0.0229 1918.0000 
  0.7095   0.0299 2010.0000 
  0.7340   0.0188 1545.0000 
  0.7134   0.0127 1413.0000 
  0.6946   0.0805 2063.0000 
  0.6943   0.1131 1848.0000 
  0.6511   0.0629 1734.0000 
  0.6538   0.0826 1912.0000 
  0.5569   0.1569 2090.0000 
  0.5315   0.1792 1507.0000 
  0.7433   0.1356 900.0000 
  0.7469   0.2225 719.0000 
  0.7386   0.1351 681.0000 
  0.7333   0.1626 855.0000 
  0.7813   0.0168 951.0000 
  0.7632   0.0202 1191.0000 
  0.7876   0.0097 1036.0000 
  0.7692   0.0123 1135.0000 
  0.6698   0.0447 963.0000 
  0.6349   0.0549 819.0000 
  0.6430   0.0302 1028.0000 
  0.6405   0.0497 765.0000 
  0.7184   0.0163 799.0000 
  0.6988   0.0196 767.0000 
  0.7309   0.0158 695.0000 
  0.6815   0.0169 650.0000 
  0.7232   0.0574 1167.0000 
  0.7245   0.0287 871.0000 
  0.7106   0.0148 881.0000 
  0.7167   0.0123 893.0000 
  0.7563   0.0036 829.0000 
  0.7589   0.0114 701.0000 
  0.7218   0.0136 737.0000 
  0.6948   0.0032 616.0000 
  0.7228   0.0187 534.0000 
  0.7173   0.0220 1001.0000 
  0.7198   0.0169 885.0000 
  0.7173   0.0190 1107.0000 
  0.6826   0.0334 838.0000 
  0.6852   0.0639 1080.0000 
  0.6572   0.0506 1126.0000 
  0.6783   0.0386 830.0000 
  0.6873   0.0661 726.0000 
  0.6528   0.5774 265.0000 
  0.5957   0.1319 235.0000 
  0.7599   0.0220 454.0000 
  0.6809   0.5532  94.0000 
  0.5665   0.2468 316.0000 
  0.5523   0.5732 239.0000 
  0.7639   0.0149 538.0000 
  0.7083   0.3583 240.0000 
  0.6448   0.8806 335.0000 
  0.7000   0.1913 460.0000 
  0.6721   0.9047 619.0000 
  0.6235   0.8750 680.0000 
  0.6327   0.9883 599.0000 
  0.6635   0.8795 639.0000 
  0.6992   0.0120 502.0000 
  0.5887   0.2908 282.0000 
  0.6390   0.0888 349.0000 
  0.5697   0.4599 337.0000 
  0.6493   0.3697 211.0000 
  0.6502   0.2882 406.0000 
  0.5811   0.3108 444.0000 
  0.6614   0.2489 446.0000 
  0.5770   0.1106 669.0000 
  0.6282   0.0519 347.0000 
  0.7013   0.4908 760.0000 
  0.6372   0.4590 634.0000 
  0.5721   0.6140 430.0000 
  0.6211   0.3789  95.0000 
  0.6773   0.2409 220.0000 
  0.7344   0.2969 128.0000 
  0.6798   0.4247 737.0000 
  0.6569   0.5015 682.0000 
  0.6414   0.3135 909.0000 
  0.7500   0.0500 120.0000 
  0.7226   0.3295 786.0000 
  0.6511   0.5728 536.0000 
  0.6708   0.3900 641.0000 
  0.7921   0.1714 630.0000 
  0.6806   0.4352 216.0000 
  0.7743   0.1829 350.0000 
  0.7412   0.4000 680.0000 
  0.7921   0.1089 404.0000 
  0.8052   0.0728 426.0000 
  0.7577   0.1207 1110.0000 
  0.7324   0.2375 598.0000 
  0.7497   0.2916 775.0000 
  0.7755   0.0388 490.0000 
  0.7304   0.9908 1083.0000 
  0.7429   0.8898 490.0000 
  0.7370   0.0751 559.0000 
  0.7731   0.0482 498.0000 
  0.8085   0.2872 470.0000 
  0.7908   0.1830 153.0000 
  0.7556   0.5353 1203.0000 
  0.7886   0.0936 577.0000 
  0.7179   0.6630 273.0000 
  0.6482   0.1060 415.0000 
  0.6957   0.0304 723.0000 
  0.6905   0.2333 420.0000 
  0.7037   0.0046 216.0000 
  0.8126   0.3818 571.0000 
  0.7579   0.2505 475.0000 
  0.7743   0.2308 793.0000 
  0.7557   0.1194 1281.0000 
  0.7023   0.1722 598.0000 
  0.6908   0.0838 346.0000 
  0.7557   0.6126 573.0000 
  0.7695   0.2006 334.0000 
  0.7431   0.0694 144.0000 
  0.7347   0.0047 1063.0000 
  0.8138   0.1053 247.0000 
  0.7155   0.0674 341.0000 
  0.7725   0.0000 167.0000 
  0.6044   0.1822 450.0000 
  0.6612   0.1565 735.0000 
  0.7025   0.0316 316.0000 
  0.7753   0.0000 485.0000 
  0.8022   0.0000  91.0000 
  0.7082   0.3367 490.0000 
  0.6750   0.1189 757.0000 
  0.7034   0.0330 971.0000 
  0.6909   0.2000 165.0000 
  0.6705   0.2521 349.0000 
  0.7133   0.0608 757.0000 
  0.6026   0.4471 463.0000 
  0.6075   0.6007 586.0000 
  0.6612   0.2134 1092.0000 
  0.7466   0.0068 146.0000 
  0.6780   0.3755 767.0000 
  0.6234   0.7565 308.0000 
  0.7157   0.1855 415.0000 
  0.7003   0.0000 337.0000 
  0.6661   0.1097 611.0000 
  0.7072   0.0991 666.0000 
  0.6944   0.0295 576.0000 
  0.6744   0.1256 780.0000 
  0.7080   0.0097 411.0000 
  0.7674   0.0000 430.0000 
  0.6172   0.8956 546.0000 
  0.5811   0.8946 721.0000 
  0.6806   0.2476 836.0000 
  0.7693   0.1825 685.0000 
  0.6955   0.2115 312.0000 
  0.7719   0.0000 320.0000 
  0.7457   0.0000 346.0000 
  0.6845   0.1900 637.0000 
  0.7228   0.0050 202.0000 
  0.5792   0.8443 1060.0000 
  0.7702   0.3975 161.0000 
  0.6312   0.4935 385.0000 
  0.6566   0.0000 265.0000 
  0.6335   0.0000 603.0000 
  0.6898   0.0050 403.0000 
  0.6881   0.0000 452.0000 
  0.7500   0.0000 300.0000 
  0.7527   0.0000  93.0000 
  0.6536   0.0335 179.0000 
  0.7337   0.0000 984.0000 
  0.6651   0.0000 633.0000 
  0.7629   0.0000  97.0000 
  0.6993   0.0000 572.0000 
  0.7150   0.0000 200.0000 
  0.6797   0.0000 153.0000 
  0.6667   0.0000 165.0000 
  0.6378   0.0000 196.0000 
  0.7373   0.0000 118.0000 
  0.7598   0.0000 179.0000 
  0.7099   0.0000 162.0000 
  0.6883   0.0000  77.0000 
  0.6695   0.0000 354.0000 
  0.7500   0.0000 132.0000 
  0.6875   0.0000  96.0000 
  0.6771   0.0000 223.0000 
  0.5383   0.9820 665.0000 
  0.5320   0.9733 562.0000 
  0.4960   0.7287 881.0000 
  0.6000   0.1522 1005.0000 
  0.5088   0.3833 1140.0000 
  0.6757   0.0974 1437.0000 
  0.6240   0.1560 1032.0000 
  0.5668   0.6623 681.0000 
  0.6253   0.5519 491.0000 
  0.5614   0.8944 928.0000 
  0.6092   0.1062 998.0000 
  0.6308   0.1901 910.0000 
  0.6539   0.0590 627.0000 
  0.7658   0.0090 333.0000 
  0.6202   0.1214 840.0000 
  0.6396   0.1688 1096.0000 
  0.6836   0.1640 866.0000 
  0.7246   0.0052 966.0000 
  0.7533   0.0044 908.0000 
  0.6729   0.0053 752.0000 
  0.6453   0.1894 1156.0000 
  0.6959   0.0558 1039.0000 
  0.6510   0.7653 490.0000 
  0.6545   0.1900 521.0000 
  0.6556   0.2601 1115.0000 
  0.6486   0.2811 811.0000 
  0.6390   0.1426 554.0000 
  0.6746   0.2424 590.0000 
  0.6947   0.1976 845.0000 
  0.7280   0.0758 805.0000 
  0.6140   0.1075 456.0000 
  0.7549   0.0760 408.0000 
  0.7712   0.2598 612.0000 
  0.7411   0.3100 1016.0000 
  0.7219   0.5031 320.0000 
  0.6904   0.6773 1069.0000 
  0.6810   0.9026 1047.0000 
  0.7059   0.6150 891.0000 
  0.5846   0.2422 1247.0000 
  0.7562   0.1750 160.0000 
  0.6643   0.1424 1138.0000 
  0.6722   0.0972 360.0000 
  0.6602   0.0822 1180.0000 
  0.6284   0.0445 1055.0000 
  0.6203   0.0062 482.0000 
  0.6687   0.0231 649.0000 
  0.7905   0.7851 377.0000 
  0.8546   0.5306 784.0000 
  0.8548   0.5776 606.0000 
  0.8338   0.0714 686.0000 
  0.8517   0.3305 236.0000 
  0.8802   0.8760 726.0000 
  0.7544   0.7895 285.0000 
  0.8048   0.3846 871.0000 
  0.7735   0.2197 874.0000 
  0.8719   0.0264 531.0000 
  0.8569   0.0070 713.0000 
  0.7928   0.9834 782.0000 
  0.7682   0.6985 1277.0000 
  0.7547   0.2504 591.0000 
  0.8014   0.7799 695.0000 
  0.7890   0.4864 1180.0000 
  0.8434   0.0051 198.0000 
  0.7599   0.9040 708.0000 
  0.7143   0.1122  98.0000 
  0.8146   0.2330 631.0000 
  0.7606   0.3811 1299.0000 
  0.8096   0.4019 520.0000 
  0.8289   0.0302 298.0000 
  0.8040   0.4733 505.0000 
  0.6667   0.3333  30.0000 
  0.7991   0.7188 224.0000 
  0.8509   0.4978 691.0000 
  0.8211   0.0000 777.0000 
  0.8687   0.0000 617.0000 
  0.7813   0.0379 343.0000 
  0.8353   0.6687 1008.0000 
  0.8333   0.7042 612.0000 
  0.8333   0.0072 138.0000 
  0.7428   0.0757 727.0000 
  0.7567   0.5940 596.0000 
  0.7374   0.3129 278.0000 
  0.6364   0.0000 110.0000 
  0.7053   0.2910 543.0000 
  0.7129   0.3796 411.0000 
  0.7911   0.0188 584.0000 
  0.8195   0.0248 565.0000 
  0.7829   0.0181 387.0000 
  0.7429   0.0000 245.0000 
  0.7585   0.0031 646.0000 
  0.7216   0.3814 194.0000 
  0.8000   0.0068 590.0000 
  0.8337   0.0095 421.0000 
  0.7561   0.0019 529.0000 
  0.8398   0.2549 412.0000 
  0.7073   0.0163 246.0000 
  0.7744   0.8855 297.0000 
  0.7796   0.9959 245.0000 
  0.7861   0.4527 201.0000 
  0.7540   0.9175 691.0000 
  0.7599   0.8079 354.0000 
  0.4422   0.0544 147.0000 
  0.5570   0.1904 772.0000 
  0.6287   0.1281 851.0000 
  0.5708   0.7468 466.0000 
  0.7340   0.0252 515.0000 
  0.5758   0.5162 554.0000 
  0.5944   0.7231 1134.0000 
  0.6166   0.3516 819.0000 
  0.6223   0.0623 1075.0000 
  0.7258   0.0140 1353.0000 
  0.5638   0.3158 1371.0000 
  0.4030   0.2915 861.0000 
  0.6456   0.0818 1332.0000 
  0.5449   0.1760 1358.0000 
  0.6379   0.1060 1207.0000 
  0.6355   0.0320 1188.0000 
  0.6793   0.0250 1562.0000 
  0.6358   0.0296 1046.0000 
  0.6821   0.0173 865.0000 
  0.6123   0.0622 1687.0000 
  0.6643   0.0334 1287.0000 
  0.5294   0.1765 153.0000 
  0.5850   0.1804 2140.0000 
  0.5950   0.0750 400.0000 
  0.6808   0.0293 614.0000 
  0.6755   0.2686 376.0000 
  0.6022   0.9696 1086.0000 
  0.5462   0.3422 1397.0000 
  0.4572   0.3691 1146.0000 
  0.7073   0.0688 1322.0000 
  0.5178   0.1897 1012.0000 
  0.6172   0.1773 1032.0000 
  0.6660   0.0298 470.0000 
  0.6841   0.0378 1456.0000 
  0.6799   0.1104 906.0000 
  0.7286   0.0000 350.0000 
  0.6066   0.0055 549.0000 
  0.6806   0.0065 1550.0000 
  0.5804   0.2017 1616.0000 
  0.5811   0.1980 1843.0000 
  0.7237   0.0493 771.0000 
  0.6007   0.2195 1157.0000 
  0.6421   0.2833 992.0000 
  0.6827   0.1548 1021.0000 
  0.5907   0.1347 965.0000 
  0.5555   0.7687 1163.0000 
  0.6209   0.1240 968.0000 
  0.6290   0.1437 1628.0000 
  0.6270   0.0611 1343.0000 
  0.5990   0.0900 1045.0000 
  0.6506   0.0538 1451.0000 
  0.6192   0.0923 856.0000 
  0.5737   0.6681 678.0000 
  0.6241   0.9945 721.0000 
  0.6012   0.9962 1314.0000 
  0.5800   0.9919 1112.0000 
  0.6031   0.1866 1227.0000 
  0.6391   0.3795 1502.0000 
  0.5156   0.8447 1249.0000 
  0.6277   0.1360 419.0000 
  0.6405   0.0217 1107.0000 
  0.6147   0.0323 1456.0000 
  0.6667   0.0136 588.0000 
  0.5807   0.0091 768.0000 
  0.5732   0.0000 785.0000 
  0.5331   0.4770 499.0000 
  0.5989   0.2773 880.0000 
  0.6415   0.0692 982.0000 
  0.6146   0.0612 1715.0000 
  0.6200   0.9964 1371.0000 
  0.7174   0.1196 276.0000 
  0.5615   0.9930 1147.0000 
  0.6229   0.3677 960.0000 
  0.6440   0.0182 604.0000 
  0.5816   0.1334 1649.0000 
  0.5110   0.6230 1358.0000 
  0.6475   0.0052 573.0000 
  0.7062   0.0032 616.0000 
  0.7077   0.1790 609.0000 
  0.5918   0.0639 485.0000 
  0.5955   0.0000 267.0000 
  0.7568   0.0000 111.0000 
  0.6453   0.1860 172.0000 
  0.7439   0.0554 289.0000 
  0.5556   0.0139 216.0000 
  0.6901   0.0620 242.0000 
  0.7917   0.0909 264.0000 
  0.7238   0.0000 210.0000 
  0.6680   0.6881 497.0000 
  0.6105   0.1344 439.0000 
  0.6051   0.7500 352.0000 
  0.7467   0.2667 225.0000 
  0.6651   0.0142 424.0000 
  0.7235   0.0034 293.0000 
  0.7351   0.0000 521.0000 
  0.8138   0.0000 349.0000 
  0.8112   0.0000 286.0000 
  0.7060   0.0309 517.0000 
  0.7684   0.0000 285.0000 
  0.5542   0.0100 803.0000 
  0.6824   0.0000 592.0000 
  0.7054   0.0014 740.0000 
  0.7600   0.0000 325.0000 
  0.7316   0.0000 529.0000 
  0.7193   0.0000 431.0000 
  0.7022   0.0000 883.0000 
  0.7442   0.0000 684.0000 
  0.7185   0.0000 579.0000 
  0.7221   0.0000 457.0000 
  0.7855   0.0017 606.0000 
  0.7504   0.0015 669.0000 
  0.7700   0.0039 761.0000 
  0.7275   0.0090 888.0000 
  0.7579   0.0000 603.0000 
  0.7490   0.0000 494.0000 
  0.7368   0.0054 551.0000 
  0.7084   0.0046 439.0000 
  0.7718   0.0000 618.0000 
  0.7143   0.0088 455.0000 
  0.7794   0.0017 603.0000 
  0.7612   0.0105 381.0000 
  0.6915   0.0381 1102.0000 
  0.6402   0.9894 189.0000 
  0.7515   0.0000 499.0000 
  0.7894   0.0128 470.0000 
  0.7659   0.0015 675.0000 
  0.7898   0.0054 371.0000 
  0.7368   0.0094 532.0000 
  0.7151   0.0057 1218.0000 
  0.6511   0.0221 1178.0000 
  0.7240   0.0117 768.0000 
  0.7061   0.0015 667.0000 
  0.6402   0.0212 1320.0000 
  0.7620   0.0000 626.0000 
  0.7509   0.0068 879.0000 
  0.7426   0.0010 1041.0000 
  0.7267   0.0030 666.0000 
  0.7452   0.0083 722.0000 
  0.7102   0.0057 880.0000 
  0.7331   0.0062 487.0000 
  0.7555   0.0000 593.0000 
  0.6790   0.0000 433.0000 
  0.7219   0.0019 525.0000 
  0.7062   0.0603 531.0000 
  0.7143   0.0031 637.0000 
  0.7355   0.0000 722.0000 
  0.6022   0.0409 538.0000 
  0.7674   0.0017 589.0000 
  0.7241   0.0172 870.0000 
  0.7397   0.0065 918.0000 
  0.6746   0.0146 1094.0000 
  0.7793   0.0023 1296.0000 
  0.7601   0.0000 617.0000 
  0.6296   0.5461 683.0000 
  0.6866   0.9935 1222.0000 
  0.7727   0.0000 1443.0000 
  0.5808   0.8053 637.0000 
  0.6767   0.9630 433.0000 
  0.7340   0.0000 312.0000 
  0.6798   0.6096 228.0000 
  0.6506   0.0186 538.0000 
  0.7708   0.0000 445.0000 
  0.6738   0.8336 751.0000 
  0.7270   0.0349 773.0000 
  0.7905   0.0000 377.0000 
  0.6472   0.1587 479.0000 
  0.7449   0.0763 878.0000 
  0.7542   0.0000 1180.0000 
  0.6989   0.1176 621.0000 
  0.7243   0.0015 671.0000 
  0.7617   0.0022 898.0000 
  0.6890   0.0556 971.0000 
  0.7287   0.0000 376.0000 
  0.7541   0.0014 724.0000 
  0.6998   0.0506 633.0000 
  0.7015   0.0000 891.0000 
  0.8097   0.0015 662.0000 
  0.6746   0.0397 1008.0000 
  0.7246   0.0022 904.0000 
  0.7017   0.0037 808.0000 
  0.7740   0.0095 845.0000 
  0.7302   0.0428 771.0000 
  0.7308   0.0702 769.0000 
  0.7322   0.0237 844.0000 
  0.7475   0.0186 1291.0000 
  0.7490   0.0082 490.0000 
  0.7664   0.0109 732.0000 
  0.6973   0.0179 446.0000 
  0.4957   0.2826 230.0000 
  0.7523   0.0008 1316.0000 
  0.5006   0.1848 909.0000 
  0.7393   0.0000 1308.0000 
  0.6250   0.1794 496.0000 
  0.5801   0.9920 624.0000 
  0.6253   0.0923 379.0000 
  0.6471   0.0338 918.0000 
  0.6718   0.0427 1030.0000 
  0.6316   0.0368 923.0000 
  0.6709   0.0503 796.0000 
  0.6323   0.0643 1447.0000 
  0.6647   0.0598 1187.0000 
  0.5979   0.0336 1726.0000 
  0.6476   0.0257 857.0000 
  0.6383   0.0519 1059.0000 
  0.6937   0.0413 653.0000 
  0.6901   0.0051 2162.0000 
  0.6424   0.0232 1208.0000 
  0.6760   0.0238 1176.0000 
  0.5995   0.0798 2192.0000 
  0.7045   0.6832 423.0000 
  0.6855   0.0206 1167.0000 
  0.5581   0.0364 878.0000 
  0.7757   0.0000 896.0000 
  0.7017   0.0033 600.0000 
  0.7218   0.0019 514.0000 
  0.7995   0.0053 758.0000 
  0.7725   0.0000 800.0000 
  0.7726   0.0000 985.0000 
  0.7938   0.0000 747.0000 
  0.8031   0.0000 508.0000 
  0.7551   0.0015 682.0000 
  0.7839   0.0015 671.0000 
  0.7810   0.0000 758.0000 
  0.7823   0.0000 441.0000 
  0.7853   0.0000 899.0000 
  0.7550   0.0133 751.0000 
  0.7817   0.0025 797.0000 
  0.7442   0.0000 954.0000 
  0.7297   0.0098 714.0000 
  0.7081   0.0072 555.0000 
  0.7241   0.0043 1167.0000 
  0.7371   0.0000 1354.0000 
  0.7715   0.0014 1409.0000 
  0.6409   0.0264 607.0000 
  0.7941   0.0074 539.0000 
  0.7828   0.0013 778.0000 
  0.7271   0.0007 1506.0000 
  0.7307   0.0015 1292.0000 
  0.7480   0.0026 1151.0000 
  0.7229   0.0241 332.0000 
  0.7535   0.0025 791.0000 
  0.7048   0.0127 786.0000 
  0.7493   0.0102 686.0000 
  0.7578   0.0000 739.0000 
  0.7260   0.0020 511.0000 
  0.6731   0.0000 884.0000 
  0.7430   0.0000 1066.0000 
  0.7543   0.0017 578.0000 
  0.6168   0.0454 882.0000 
  0.7500   0.0038 792.0000 
  0.7352   0.0017 1186.0000 
  0.8120   0.0000 601.0000 
  0.6040   0.0419 596.0000 
  0.7591   0.0029 685.0000 
  0.7248   0.0092 545.0000 
  0.7449   0.0015 682.0000 
  0.6440   0.0027 1503.0000 
  0.7383   0.0517 619.0000 
  0.7340   0.0930 688.0000 
  0.7035   0.1105 1366.0000 
  0.7316   0.0316 190.0000 
  0.5935   0.8714 1299.0000 
  0.6456   0.0183 1092.0000 
  0.7006   0.0173 1446.0000 
  0.6912   0.0500 1279.0000 
  0.6815   0.1952 1281.0000 
  0.7553   0.0155 903.0000 
  0.7300   0.0773 789.0000 
  0.7724   0.1747 870.0000 
  0.7682   0.9735 302.0000 
  0.8105   0.0196 153.0000 
  0.6752   0.2954 545.0000 
  0.7020   0.0000 151.0000 
  0.6651   0.0191 209.0000 
  0.6796   0.0497 181.0000 
  0.6874   0.2728 1305.0000 
  0.7021   0.0733 846.0000 
  0.7257   0.1733 525.0000 
  0.7846   0.0000  65.0000 
  0.6532   0.0081 372.0000 
  0.6514   0.0781 832.0000 
  0.7459   0.0486 185.0000 
  0.7707   0.3160 1234.0000 
  0.7023   0.3696 974.0000 
  0.6755   0.1214 832.0000 
  0.6928   0.1301 830.0000 
  0.6651   0.1121 642.0000 
  0.7101   0.0612 997.0000 
  0.7003   0.0834 971.0000 
  0.6549   0.3245 678.0000 
  0.6497   0.3699 765.0000 
  0.7033   0.2615 738.0000 
  0.6990   0.1639 671.0000 
  0.6703   0.1386 743.0000 
  0.6849   0.1539 968.0000 
  0.6659   0.1595 928.0000 
  0.6508   0.2007 862.0000 
  0.7261   0.2270 555.0000 
  0.7129   0.1586 599.0000 
  0.7197   0.2844 735.0000 
  0.7189   0.2562 402.0000 
  0.6526   0.0674 475.0000 
  0.7256   0.0435 1035.0000 
  0.7073   0.0520 885.0000 
  0.5946   0.0452 597.0000 
  0.5463   0.0698 659.0000 
  0.7556   0.0247 810.0000 
  0.6169   0.0671 462.0000 
  0.8483   0.0393 178.0000 
  0.6416   0.0322 1024.0000 
  0.6663   0.1776 839.0000 
  0.6744   0.1555 688.0000 
  0.6802   0.1537 566.0000 
  0.6951   0.1585 246.0000 
  0.6973   0.0624 882.0000 
  0.7328   0.1267 726.0000 
  0.5533   0.8472 779.0000 
  0.5705   0.9785 1071.0000 
  0.5745   0.8420 557.0000 
  0.5935   0.8010 588.0000 
  0.5543   0.9152 920.0000 
  0.6350   0.2255 337.0000 
  0.6007   0.4362 1222.0000 
  0.5841   0.7632 832.0000 
  0.5687   0.7382 932.0000 
  0.5690   0.8972 710.0000 
  0.6073   0.9355 713.0000 
  0.5402   0.7781 311.0000 
  0.6061   0.3124 957.0000 
  0.5744   0.9895 571.0000 
  0.5374   0.9867 601.0000 
  0.5779   0.6405 879.0000 
  0.5966   0.3277 357.0000 
  0.6869   0.0062 642.0000 
  0.6702   0.0223 761.0000 
  0.4790   0.1432 405.0000 
  0.4628   0.1736 484.0000 
  0.5259   0.1739 483.0000 
  0.4746   0.4644 295.0000 
  0.5784   0.1742 287.0000 
  0.5127   0.4764 275.0000 
  0.5232   0.3179 151.0000 
  0.7259   0.0016 642.0000 
  0.7334   0.0097 619.0000 
  0.6602   0.3068 665.0000 
  0.6746   0.3121 676.0000 
  0.5599   0.6510 384.0000 
  0.6168   0.0759 843.0000 
  0.5761   0.0577 762.0000 
  0.7475   0.0140 1002.0000 
  0.7066   0.0199 702.0000 
  0.6823   0.0013 787.0000 
  0.6728   0.0522 651.0000 
  0.6827   0.0451 665.0000 
  0.6672   0.0108 649.0000 
  0.6400   0.0344 814.0000 
  0.6368   0.0507 749.0000 
  0.5959   0.0483 829.0000 
  0.6387   0.0654 764.0000 
  0.6312   0.0717 892.0000 
  0.7201   0.0012 854.0000 
  0.7066   0.0013 784.0000 
  0.7035   0.0054 742.0000 
  0.6461   0.0118 763.0000 
  0.6838   0.0077 778.0000 
  0.6186   0.0242 1159.0000 
  0.7386   0.0158 505.0000 
  0.6307   0.0076 658.0000 
  0.6864   0.0412 558.0000 
  0.7374   0.0029 693.0000 
  0.7216   0.0107 844.0000 
  0.6549   0.0126 1188.0000 
  0.6914   0.0023 1319.0000 
  0.6499   0.0052 1354.0000 
  0.6016   0.0433 1594.0000 
  0.5830   0.0677 813.0000 
  0.7011   0.0446 1211.0000 
  0.6473   0.0324 1018.0000 
  0.5229   0.0261 153.0000 
  0.6017   0.0814 1499.0000 
  0.6117   0.0340 940.0000 
  0.6367   0.1465 1024.0000 
  0.6460   0.1186 582.0000 
  0.6632   0.1619 766.0000 
  0.7262   0.0381 946.0000 
  0.7252   0.4485 1059.0000 
  0.6065   0.0437 1075.0000 
  0.6521   0.0268 710.0000 
  0.6561   0.0424 660.0000 
  0.5497   0.0994 1308.0000 
  0.5409   0.0866 1259.0000 
  0.6588   0.0565 425.0000 
  0.5857   0.0452 420.0000 
  0.7546   0.0645 713.0000 
  0.7749   0.0685 1226.0000 
  0.7867   0.0694 994.0000 
  0.6650   0.6350 400.0000 
  0.7705   0.1947 488.0000 
  0.8048   0.0530 661.0000 
  0.7988   0.0671 1342.0000 
  0.7378   0.2287 656.0000 
  0.7799   0.1003 309.0000 
  0.7090   0.7177 457.0000 
  0.7724   0.4810 738.0000 
  0.7458   0.6252 771.0000 
  0.7859   0.1009 327.0000 
  0.8275   0.0147 748.0000 
  0.7846   0.0785 1337.0000 
  0.7701   0.0423 757.0000 
  0.7555   0.0888 642.0000 
  0.7293   0.0092 761.0000 
  0.7308   0.1149 1044.0000 
  0.7041   0.1110 784.0000 
  0.7849   0.0159 753.0000 
  0.7305   0.0022 1358.0000 
  0.6711   0.0024 833.0000 
  0.7205   0.0000 526.0000 
  0.7218   0.0015 683.0000 
  0.6782   0.0011 926.0000 
  0.6667   0.0000  30.0000 
  0.5714   0.0000  56.0000 
  0.6802   0.1081 222.0000 
  0.7992   0.0947 264.0000 
  0.7522   0.0224 581.0000 
  0.7781   0.0276 1343.0000 
  0.7482   0.0059 842.0000 
  0.7533   0.0000 523.0000 
  0.7402   0.0000 535.0000 
  0.8054   0.0067 149.0000 
  0.6650   0.6318 812.0000 
  0.7061   0.2524 313.0000 
  0.8667   0.0667  15.0000 
  0.7326   0.0000 172.0000 
  0.7194   0.0296 506.0000 
  0.7150   0.2019 421.0000 
  0.7981   0.0481 104.0000 
  0.5983   0.0000 346.0000 
  0.6047   0.0234 812.0000 
  0.6293   0.1652 696.0000 
  0.6350   0.0043 1170.0000 
  0.6948   0.0054 367.0000 
  0.6397   0.0000 494.0000 
  0.6778   0.0000 748.0000 
  0.5507   0.0000 434.0000 
  0.6633   0.0000 701.0000 
  0.6561   0.0000 788.0000 
  0.6951   0.0000 669.0000 
  0.6949   0.0000 472.0000 
  0.6760   0.0000 321.0000 
  0.6431   0.0011 905.0000 
  0.7253   0.0016 608.0000 
  0.6715   0.0073 1099.0000 
  0.6985   0.0147 272.0000 
  0.7160   0.0739 771.0000 
  0.5969   0.0000 196.0000 
  0.6918   0.0000 649.0000 
  0.6919   0.0191 1256.0000 
  0.6364   0.0000 297.0000 
  0.6486   0.0000 185.0000 
  0.5868   0.0789 380.0000 
  0.5155   0.0309 194.0000 
  0.6667   0.0000  78.0000 
  0.6498   0.0048 831.0000 
  0.6897   0.0862  58.0000 
  0.6868   0.0000 514.0000 
  0.6198   0.0418 263.0000 
  0.6265   0.0000  83.0000 
  0.7625   0.0000 341.0000 
  0.7682   0.0000 440.0000 
  0.7746   0.0043 923.0000 
  0.7397   0.0053 753.0000 
  0.7705   0.0000  61.0000 
  0.7167   0.0107 466.0000 
  0.7139   0.0000 332.0000 
  0.6029   0.0253 277.0000 
  0.6456   0.0000  79.0000 
  0.6757   0.0000 111.0000 
  0.8067   0.0000 119.0000 
  0.8116   0.0000  69.0000 
  0.7086   0.0000 151.0000 
  0.6406   0.0000 128.0000 
  0.6786   0.0000 364.0000 
  0.7174   0.0217  46.0000 
  0.7430   0.0130 463.0000 
  0.7806   0.0000 155.0000 
  0.7619   0.0000 105.0000 
  0.9412   0.0000  34.0000 
  0.8235   0.0000  85.0000 
  0.5221   0.7721 136.0000 
  0.6236   0.5603 348.0000 
  0.6676   0.8064 346.0000 
  0.8676   0.5000  68.0000 
  0.7361   0.0331 936.0000 
  0.7523   0.0065 1070.0000 
  0.6355   0.0929 1668.0000 
  0.5774   0.4251 1169.0000 
  0.6638   0.7057 1835.0000 
  0.6561   0.5263 1387.0000 
  0.6822   0.1050 1372.0000 
  0.4924   0.2808 851.0000 
  0.7533   0.0230 1131.0000 
  0.4733   0.9447 1572.0000 
  0.4625   0.9736 1399.0000 
  0.7559   0.3616 885.0000 
  0.8719   0.0296 203.0000 
  0.8363   0.2035 226.0000 
  0.7940   0.4149 335.0000 
  0.8143   0.1476 210.0000 
  0.7872   0.3308 390.0000 
  0.7867   0.1706 422.0000 
  0.8201   0.0231 389.0000 
  0.7336   0.0969 289.0000 
  0.7485   0.0058 342.0000 
  0.8128   0.1430 1063.0000 
  0.7573   0.0933 375.0000 
  0.8020   0.0462 606.0000 
  0.6992   0.0059 1516.0000 
  0.7530   0.0168 1247.0000 
  0.7316   0.0188 1386.0000 
  0.8060   0.0410 902.0000 
  0.7882   0.0424 968.0000 
  0.6624   0.6393 865.0000 
  0.7000   0.0094 1490.0000 
  0.7197   0.0062 1445.0000 
  0.7608   0.0046 439.0000 
  0.7748   0.0000 484.0000 
  0.7746   0.0272 772.0000 
  0.7339   0.0007 1518.0000 
  0.7248   0.0027 1490.0000 
  0.6588   0.0000 1143.0000 
  0.7547   0.0342 322.0000 
  0.7401   0.0804 808.0000 
  0.7219   0.1279 1032.0000 
