X_i	V_i	T_i	e^2_i	1/N_i
0.0780 0.5424 0.5413 0.0367 0.0046 
0.1943 0.4776 0.2920 0.0022 0.0012 
0.0758 0.3129 0.2500 0.0100 0.0008 
0.0502 0.3283 0.1807 0.0295 0.0009 
0.0069 0.3187 0.5498 0.0374 0.0034 
0.3810 0.8056 0.3429 0.0004 0.0095 
0.0581 0.2797 0.5834 0.0537 0.0012 
0.0748 0.3103 0.1607 0.0359 0.0009 
0.0164 0.3438 0.6246 0.0724 0.0016 
0.4599 0.7295 0.3058 0.0001 0.0013 
0.1148 0.4724 0.5774 0.0534 0.0016 
0.1588 0.4641 0.1930 0.0223 0.0008 
0.1152 0.4906 0.2442 0.0104 0.0023 
0.0056 0.2512 0.7486 0.1538 0.0019 
0.0581 0.3333 0.2121 0.0195 0.0025 
0.0319 0.3136 0.1683 0.0345 0.0010 
0.0530 0.3122 0.5092 0.0247 0.0023 
0.0316 0.3770 0.2896 0.0042 0.0016 
0.6684 0.8043 0.3956 0.0101 0.0017 
0.1073 0.3098 0.3220 0.0006 0.0013 
0.0418 0.2133 0.1307 0.0495 0.0017 
0.4191 0.5534 0.5249 0.0428 0.0021 
0.1650 0.4375 0.4513 0.0120 0.0014 
0.1369 0.4645 0.3479 0.0000 0.0019 
0.0543 0.3544 1.2880 0.8762 0.0054 
0.0081 0.1691 0.6645 0.0950 0.0016 
0.0173 0.3327 0.7147 0.1291 0.0014 
0.0063 0.2190 0.6562 0.0899 0.0063 
0.0065 0.2493 0.5684 0.0449 0.0016 
0.0000 0.2308 0.6644 0.0945 0.0014 
0.0393 0.2727 0.1080 0.0602 0.0016 
0.0140 0.3868 0.4953 0.0195 0.0047 
0.0899 0.2996 0.4802 0.0173 0.0018 
0.1768 0.6324 0.3878 0.0022 0.0019 
0.0000 0.1176 0.6667 0.0959 0.0049 
0.0174 0.3121 0.6826 0.1071 0.0043 
0.0779 0.3546 0.4657 0.0134 0.0019 
0.0352 0.2214 0.1296 0.0502 0.0009 
0.0107 0.1667 0.4171 0.0037 0.0053 
0.0192 0.3184 0.5875 0.0540 0.0024 
0.2332 0.7000 0.1036 0.0537 0.0052 
0.0016 0.5000 0.1981 0.0252 0.0016 
0.0194 0.3298 0.3375 0.0003 0.0018 
0.0023 0.4651 0.1982 0.0252 0.0012 
0.0117 0.4765 0.1807 0.0307 0.0011 
0.0014 0.6066 0.2984 0.0034 0.0014 
0.0009 0.5870 0.2270 0.0169 0.0009 
0.0030 0.5412 0.1036 0.0641 0.0006 
0.0024 0.4154 0.4722 0.0133 0.0024 
0.0000 0.4187 0.4787 0.0148 0.0010 
0.0390 0.3155 0.2727 0.0065 0.0016 
0.0029 0.4075 0.3852 0.0008 0.0015 
0.0038 0.4371 0.2147 0.0201 0.0008 
0.0022 0.3260 0.4007 0.0019 0.0011 
0.0339 0.3645 0.3631 0.0001 0.0011 
0.0000 0.2214 0.6145 0.0663 0.0023 
0.0000 0.6354 0.1749 0.0332 0.0018 
0.0080 0.5127 0.2528 0.0107 0.0016 
0.1038 0.3833 0.1907 0.0246 0.0011 
0.0000 0.4000 0.4455 0.0078 0.0099 
0.0014 0.2914 0.6913 0.1118 0.0014 
0.0010 0.4178 0.3708 0.0002 0.0010 
0.1017 0.3909 0.3430 0.0000 0.0011 
0.0046 0.5503 0.2285 0.0164 0.0015 
0.0000 0.3230 0.5029 0.0213 0.0020 
0.0000 0.4309 0.3701 0.0002 0.0020 
0.0000 0.2662 0.5789 0.0493 0.0013 
0.0000 0.3353 0.2899 0.0045 0.0017 
0.0512 0.2891 0.3743 0.0005 0.0015 
0.0125 0.4836 0.4127 0.0032 0.0010 
0.0000 0.5000 0.1176 0.0573 0.0059 
0.1496 0.4080 0.1584 0.0341 0.0013 
0.0000 0.3640 0.5945 0.0564 0.0023 
0.0039 0.3950 0.4639 0.0115 0.0019 
0.1862 0.6066 0.1136 0.0511 0.0019 
0.0000 0.5054 0.2322 0.0156 0.0012 
0.0201 0.3333 0.0776 0.0770 0.0029 
0.0936 0.4891 0.1335 0.0461 0.0010 
0.0056 0.3848 0.4661 0.0120 0.0014 
0.1189 0.4884 0.1311 0.0462 0.0030 
0.0040 0.4020 0.4096 0.0028 0.0013 
0.0000 0.2523 0.6607 0.0922 0.0060 
0.1721 0.4965 0.1609 0.0325 0.0011 
0.0278 0.2167 0.6667 0.0975 0.0056 
0.0010 0.4118 0.2361 0.0146 0.0010 
0.0044 0.3361 0.5254 0.0285 0.0022 
0.0475 0.4420 0.0885 0.0697 0.0006 
0.0059 0.3578 0.4045 0.0023 0.0012 
0.0981 0.3153 0.1944 0.0236 0.0018 
0.0094 0.3333 0.3208 0.0013 0.0031 
0.0000 0.3333 1.2000 0.7106 0.1000 
0.0169 0.3249 0.3652 0.0001 0.0015 
0.0039 0.4462 0.3612 0.0000 0.0019 
0.0000 0.4396 0.4715 0.0131 0.0052 
0.0599 0.3023 0.4954 0.0207 0.0023 
0.0011 0.5706 0.1923 0.0271 0.0011 
0.0441 0.4595 0.3000 0.0028 0.0009 
0.0000 0.3680 0.4990 0.0202 0.0020 
0.0219 0.3814 0.2242 0.0171 0.0010 
0.0080 0.3720 0.3753 0.0004 0.0011 
0.0524 0.5571 0.0873 0.0702 0.0012 
0.0621 0.3760 0.2347 0.0136 0.0010 
0.0059 0.4757 0.3623 0.0000 0.0012 
0.0000 0.2869 0.5653 0.0434 0.0023 
0.0278 0.3333 0.0557 0.0892 0.0023 
0.0693 0.5676 0.0987 0.0635 0.0027 
0.0000 0.5084 0.2439 0.0128 0.0014 
0.0017 0.2840 0.4070 0.0025 0.0017 
0.0671 0.4106 0.2471 0.0107 0.0016 
0.0593 0.3636 0.1177 0.0547 0.0010 
0.0685 0.4082 0.3293 0.0005 0.0013 
0.0097 0.2618 0.4636 0.0116 0.0024 
0.0073 0.5165 0.2673 0.0079 0.0015 
0.0316 0.3765 0.1280 0.0511 0.0015 
0.0584 0.2778 0.1502 0.0406 0.0014 
0.0171 0.3636 0.2507 0.0110 0.0007 
0.0000 0.5282 0.2518 0.0111 0.0010 
0.0218 0.4276 0.2877 0.0045 0.0020 
0.0000 0.3660 0.4215 0.0042 0.0028 
0.0716 0.3450 0.1924 0.0250 0.0007 
0.0694 0.2273 0.3056 0.0020 0.0139 
0.0261 0.3896 0.1007 0.0645 0.0013 
0.0474 0.3497 0.2605 0.0085 0.0018 
0.0909 0.5294 0.4416 0.0086 0.0130 
0.0024 0.3640 0.1791 0.0316 0.0008 
